Name_of_Th,UniqueID,Valley,Area,Latitude,Longitude,Ward_Numbe,Ward_Name,Ward_Couns,Ward_offic,Ward_Conta,Facebook,New_Custod,Custodian,Aream3
Chokkanahalli lake,36,H,2.47,13.0841756262969,77.62971208740061,5,Jakkuru,Sri Munindra Kumar K A,"# 208/1, Punyakoti Dairy Farm, Kogilu Grama, Yelahanka Post, Bengaluru-560064","9845752211, 9900288555",,,,21788.681532106831582
Dodda Bommasandra Lake,38,H,38.55,13.0642762051659,77.56564543689259,10,Dodda Bommasandra,Smt. Jayalakshamamma Pillappa,"#32, Eranna Nilaya, 1st Main Raod, Chamundeshwari Layout, Doddabommasandra, Bengaluru-560097",9845168272,FOL,,,375699.765211298130453
Doddanekundi Kunte,39,K,3.83,12.9811069791917,77.7126056510313,85,Dodda Nekkundi,Smt. Shwetha Vijaykumar,"#627, Hoodi Garden Thigalarapalya, Hoodi, Mahadevapura Post, Bengaluru-560048",9845272073,https://www.facebook.com/Doddathogurulakerevival,,,42564.356512008031132
Rajapalya Hoodikere,40,H,10.44,12.9886255167875,77.7216529946658,82,Garudachar Playa,Sri. B N Nithish Purushotham,"#69, Manjunath Charn, Garudacharya Palya, Mahadevpura Post, Bengaluru-560082",9448474087,,,,90608.443006586399861
Horamavu Agara,41,S,15.36,13.0332404945141,77.6596930034564,25,Horamavu,Smt. Radhamma Venkatesh,"#67, Vrushabadri Nilaya, Kaverinagar, Vadaraplaya, Bengaluru-560043",9845010989,,,,147427.958860641228966
Harohalli kere,42,K,22.79,13.1342832213107,77.5791931581073,2,Chowdeswari Ward,Smt R Padmavathi Amarnath,"#3-126, Chowdeshwari layout, Manavarthi Estate, Yelahanka, Bengaluru-560064","96203 35035, 9845288774",,,,227857.853756557829911
Hebbal  kere,43,V,57.68,13.0481334877291,77.5819578954179,8,Kodigehalli,Sri. Chethan K M,"# 2152/16, Shree Manjunath Nilaya, Water tank Road Sahakar Nagara, Bengaluru-560092",9980277774,https://www.facebook.com/pg/savehebbalpenguin/posts/,,,535465.662397083477117
Hoodi kere-2,44,H,3.48,12.9997434256298,77.7158048104303,54,Hudi,Sri Hariprasad A C,"#69, ""Bhagirathi"" Chokkanahalli, Jakkur Post, Yelahanka Hobbli, Bengaluru-560064",9880341517,https://www.facebook.com/groups/1051374118274717/,,,31998.470836525724735
Horamavu kere,45,H,9.94,13.0249120493359,77.6668075332235,25,Horamavu,Smt. Radhamma Venkatesh,"#67, Vrushabadri Nilaya, Kaverinagar, Vadaraplaya, Bengaluru-560043",9845010989,https://www.facebook.com/SaveHoramavuLakes,,,60032.257413436658680
Jakkuru lake,46,K,60.3,13.0917404709923,77.60689203231949,5,Jakkuru,Sri Munindra Kumar K A,"# 208/1, Punyakoti Dairy Farm, Kogilu Grama, Yelahanka Post, Bengaluru-560064","9845752211, 9900288555","https://www.facebook.com/JALAPOSHAN/
 https://www.facebook.com/groups/JAKKURLAKE/",,,530063.232244725339115
Jimkenahalli Kere,47,K,2.8,13.0260727957212,77.6866528395018,54,Hudi,Sri Hariprasad A C,"#69, ""Bhagirathi"" Chokkanahalli, Jakkur Post, Yelahanka Hobbli, Bengaluru-560064",9880341517,,,,24740.579648965634988
Kalkere Kere,49,A,60.29,13.0451600899892,77.6638385421233,25,Horamavu,Smt. Radhamma Venkatesh,"#67, Vrushabadri Nilaya, Kaverinagar, Vadaraplaya, Bengaluru-560043",9845010989,https://www.facebook.com/savekalkerelake/,,,595592.342366081080399
Yelahanka Lake,50,A,92.56,13.1198453523276,77.58801475710639,1,Kempegowda Ward,Smt. Chandramma Kempegowda,"#75, 1st Main Raod, Venkatala Grama, Yelahanka Post, Bengaluru-560064",9980196440,www.facebook.com/YPLBCT,,,1134762.033090696670115
palanahalli,51,H,10.14,13.1176563390782,77.6162441588514,5,Jakkuru,Sri Munindra Kumar K A,"# 208/1, Punyakoti Dairy Farm, Kogilu Grama, Yelahanka Post, Bengaluru-560064","9845752211, 9900288555",,,,82283.170466587878764
Kattigenahalli lake,52,H,7.07,13.1159963310996,77.6270455446311,5,Jakkuru,Sri Munindra Kumar K A,"# 208/1, Punyakoti Dairy Farm, Kogilu Grama, Yelahanka Post, Bengaluru-560064","9845752211, 9900288555",,,,60663.544320128152322
Kogilu kere,53,K,24.11,13.1102622626218,77.6174977264732,5,Jakkuru,Sri Munindra Kumar K A,"# 208/1, Punyakoti Dairy Farm, Kogilu Grama, Yelahanka Post, Bengaluru-560064","9845752211, 9900288555",https://m.facebook.com/LifeinBlr/posts/1890289744603485,,,263650.109034254681319
Kowdenahalli Kere,54,K,8.47,13.0113583200625,77.6852767953342,52,?��?�K R Puram,Smt. K Poornima,"#108, Channakeshava Nilaya, Siddappa Layout, Devasandra, K.R.Pura Bengaluru-560036",9886468169,,,,61470.093198143869813
Gangashetti kere/ Devasandra kere,55,K,5.99,13.0047068067951,77.6945859784467,55,Devasandra,Sri. M N Srikanth (Putta),"#208, 2nd Main road, Whitefield road, B. Narayanpur, Bengaluru-560016",9245033361,,,,49914.242821638821624
J P Park Kere,56,A,35.74,13.0377538339287,77.5515090548639,17,J P Park,Smt. Mamtha K B Vasudev,"#19, 17th A Mainroad, 19th Cross, Bandappa Garden, Muthyalanagar, Bengaluru-560054",9591666900,,,,284496.442880266811699
Nagawara Lake,58,H,32.43,13.0449661335447,77.6022376879329,7,Byatarayanapura,Sri. P V Manjunath (Babu),"#217, Behind Govt. Hospital, Amrutahalli, Sahakar Nagara Post, Bengaluru-560092","9448046271, 9663334791",https://www.facebook.com/savenagavaralake/community/,,,285756.013399607618339
Narasipura Lake-1,59,V,4.01,13.0709281269454,77.5585072539249,9,Vidyaranyapura,Smt. Kusuma H,"#312, Narasipura Layour, Vidyaranyapura Post, Bengaluru-5600097",9341269171,https://www.facebook.com/SaveTheBioDiversityOfNarsipuraLake/,,,40146.145183773012832
Narasipura Lake-2,60,H,1.91,13.0768450668104,77.55408542606899,9,Vidyaranyapura,Smt. Kusuma H,"#312, Narasipura Layour, Vidyaranyapura Post, Bengaluru-5600097",9341269171,FOL,,,19051.421341177076101
Rachenahalli kere,61,H,42.22,13.067400968816,77.6134371265186,6,Thanisandra,Smt. Mamatha K M,"#311, Shbari Nagara, RK Hegde Nagara, Dr. Shivaramakaranta Nagara, Bengaluru-560077",8867753469,"https://www.facebook.com/rachenahallilake/?rf=134463767338722
 https://www.facebook.com/Rachenahalli",,,395623.363605368882418
Kodigehalli lake,62,V,23.19,12.9984223266332,77.7245224697558,54,Hudi,Sri Hariprasad A C,"#69, ""Bhagirathi"" Chokkanahalli, Jakkur Post, Yelahanka Hobbli, Bengaluru-560064",9880341517,https://www.facebook.com/SaveOurSadaramangalaLake/,,,163693.561524004238890
Shegehalli kere,63,V,10.61,13.0157515340984,77.7117921858131,53,Basavanapura,Sri. B N Jayapraksh,"#136/1, Coconut Garden, Seegehalli, Virgonagar Post, Bengaluru-560049","7411816999, 9741980749",https://www.facebook.com/pages/category/Recreation---Sports-Website/Seegehalli-Lake-TankBund-775650065876594/,,,86065.299025247790269
Thirumenahalli lake,65,O,5.48,13.092830691513,77.6271550221966,-na-,Outside BBMP limit,-na-,-na-,-na-,https://www.facebook.com/pages/Thirumenahalli-Lake/111920523572219,,,62242.531373526435345
